LAST SEEN   TYPE      REASON                  OBJECT                                               MESSAGE
10m         Normal    ProvisioningSucceeded   persistentvolumeclaim/storage-loki-ingester-0        Successfully provisioned volume pvc-918e3970-c315-4f9c-ad0b-fbf91d6baca2
10m         Normal    Provisioning            persistentvolumeclaim/storage-loki-ingester-0        External provisioner is provisioning volume for claim "netobserv/storage-loki-ingester-0"
10m         Normal    SuccessfulCreate        statefulset/loki-compactor                           create Pod loki-compactor-0 in StatefulSet loki-compactor successful
10m         Normal    SuccessfulCreate        statefulset/loki-ingester                            create Claim storage-loki-ingester-0 Pod loki-ingester-0 in StatefulSet loki-ingester success
10m         Normal    SuccessfulCreate        statefulset/loki-ingester                            create Claim wal-loki-ingester-0 Pod loki-ingester-0 in StatefulSet loki-ingester success
10m         Warning   FailedCreate            statefulset/loki-ingester                            create Pod loki-ingester-0 in StatefulSet loki-ingester failed error: failed to create PVC wal-loki-ingester-0: persistentvolumeclaims "wal-loki-ingester-0" already exists
10m         Normal    ProvisioningSucceeded   persistentvolumeclaim/storage-loki-compactor-0       Successfully provisioned volume pvc-e79f0f85-0757-4daf-b7f0-d9b1c4f637ad
10m         Normal    SuccessfulCreate        replicaset/loki-query-frontend-6b64bbf4f8            Created pod: loki-query-frontend-6b64bbf4f8-t8zrz
10m         Normal    Pulled                  pod/loki-distributor-6d456f7877-lmqdq                Successfully pulled image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" in 5.346s (5.346s including waiting). Image size: 323354958 bytes.
10m         Normal    ScalingReplicaSet       deployment/loki-query-frontend                       Scaled up replica set loki-query-frontend-6b64bbf4f8 from 0 to 1
10m         Normal    Provisioning            persistentvolumeclaim/storage-loki-compactor-0       External provisioner is provisioning volume for claim "netobserv/storage-loki-compactor-0"
10m         Normal    ExternalProvisioning    persistentvolumeclaim/storage-loki-compactor-0       Waiting for a volume to be created either by the external provisioner 'nfs.csi.k8s.io' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
10m         Normal    Pulled                  pod/loki-querier-5767df7cf4-tnzzk                    Container image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" already present on machine
10m         Normal    Created                 pod/loki-querier-5767df7cf4-tnzzk                    Created container: loki-querier
10m         Normal    SuccessfulCreate        statefulset/loki-index-gateway                       create Pod loki-index-gateway-0 in StatefulSet loki-index-gateway successful
10m         Normal    NoPods                  poddisruptionbudget/loki-index-gateway               No matching pods found
10m         Normal    SuccessfulCreate        statefulset/loki-index-gateway                       create Claim storage-loki-index-gateway-0 Pod loki-index-gateway-0 in StatefulSet loki-index-gateway success
10m         Normal    Started                 pod/loki-distributor-6d456f7877-lmqdq                Started container loki-distributor
10m         Normal    Created                 pod/loki-distributor-6d456f7877-lmqdq                Created container: loki-distributor
10m         Normal    Started                 pod/loki-querier-5767df7cf4-tnzzk                    Started container loki-querier
10m         Normal    AddedInterface          pod/loki-querier-5767df7cf4-tnzzk                    Add eth0 [10.128.1.58/23] from ovn-kubernetes
10m         Normal    ScalingReplicaSet       deployment/loki-gateway                              Scaled up replica set loki-gateway-7bfcb9fd97 from 0 to 2
10m         Normal    Created                 pod/loki-query-frontend-6b64bbf4f8-t8zrz             Created container: loki-query-frontend
10m         Normal    AddedInterface          pod/loki-ingester-0                                  Add eth0 [10.128.1.59/23] from ovn-kubernetes
10m         Normal    SuccessfulCreate        replicaset/loki-gateway-7bfcb9fd97                   Created pod: loki-gateway-7bfcb9fd97-v9ln5
10m         Normal    ProvisioningSucceeded   persistentvolumeclaim/storage-loki-index-gateway-0   Successfully provisioned volume pvc-4b4c8c8d-f0ab-4257-9f0b-8ffb5dbf6bf0
10m         Normal    ExternalProvisioning    persistentvolumeclaim/storage-loki-index-gateway-0   Waiting for a volume to be created either by the external provisioner 'nfs.csi.k8s.io' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
10m         Normal    Provisioning            persistentvolumeclaim/storage-loki-index-gateway-0   External provisioner is provisioning volume for claim "netobserv/storage-loki-index-gateway-0"
10m         Normal    Started                 pod/loki-query-frontend-6b64bbf4f8-t8zrz             Started container loki-query-frontend
10m         Normal    Pulled                  pod/loki-query-frontend-6b64bbf4f8-t8zrz             Container image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" already present on machine
10m         Normal    AddedInterface          pod/loki-query-frontend-6b64bbf4f8-t8zrz             Add eth0 [10.128.1.60/23] from ovn-kubernetes
10m         Normal    SuccessfulCreate        replicaset/loki-gateway-7bfcb9fd97                   Created pod: loki-gateway-7bfcb9fd97-bl2lp
10m         Normal    Created                 pod/loki-ingester-0                                  Created container: loki-ingester
10m         Warning   FailedMount             pod/loki-gateway-7bfcb9fd97-v9ln5                    MountVolume.SetUp failed for volume "tls-secret" : secret "loki-gateway-http" not found
10m         Normal    Pulled                  pod/loki-ingester-0                                  Container image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" already present on machine
10m         Warning   FailedMount             pod/loki-gateway-7bfcb9fd97-bl2lp                    MountVolume.SetUp failed for volume "tls-secret" : secret "loki-gateway-http" not found
10m         Normal    Started                 pod/loki-ingester-0                                  Started container loki-ingester
10m         Normal    Pulled                  pod/loki-gateway-7bfcb9fd97-bl2lp                    Container image "registry.redhat.io/openshift-logging/lokistack-gateway-rhel9@sha256:243d0dd213621bc8c37aaa345c29f633d1440545ef9af431b092f4a9f28e27ed" already present on machine
10m         Normal    AddedInterface          pod/loki-compactor-0                                 Add eth0 [10.128.1.61/23] from ovn-kubernetes
10m         Normal    Pulled                  pod/loki-compactor-0                                 Container image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" already present on machine
10m         Normal    Created                 pod/loki-compactor-0                                 Created container: loki-compactor
10m         Normal    Started                 pod/loki-compactor-0                                 Started container loki-compactor
10m         Normal    AddedInterface          pod/loki-index-gateway-0                             Add eth0 [10.128.1.63/23] from ovn-kubernetes
10m         Normal    AddedInterface          pod/loki-gateway-7bfcb9fd97-bl2lp                    Add eth0 [10.130.0.218/23] from ovn-kubernetes
10m         Normal    Started                 pod/loki-gateway-7bfcb9fd97-v9ln5                    Started container gateway
10m         Normal    Created                 pod/loki-index-gateway-0                             Created container: loki-index-gateway
10m         Normal    Created                 pod/loki-gateway-7bfcb9fd97-bl2lp                    Created container: gateway
10m         Normal    Pulled                  pod/loki-gateway-7bfcb9fd97-bl2lp                    Container image "registry.redhat.io/openshift-logging/opa-openshift-rhel9@sha256:b5a936ad84333ffacab0cb970716c759b2a147ea1428ecf06ba8e8096318071c" already present on machine
10m         Normal    Created                 pod/loki-gateway-7bfcb9fd97-v9ln5                    Created container: gateway
10m         Normal    Started                 pod/loki-index-gateway-0                             Started container loki-index-gateway
10m         Normal    Pulled                  pod/loki-index-gateway-0                             Container image "registry.redhat.io/openshift-logging/logging-loki-rhel9@sha256:e6993daf1b7287afd67fb348dc9c9cae08955869f95578b95c3eb99fbc4be263" already present on machine
10m         Normal    Started                 pod/loki-gateway-7bfcb9fd97-bl2lp                    Started container gateway
10m         Normal    AddedInterface          pod/loki-gateway-7bfcb9fd97-v9ln5                    Add eth0 [10.128.1.62/23] from ovn-kubernetes
10m         Normal    Pulled                  pod/loki-gateway-7bfcb9fd97-v9ln5                    Container image "registry.redhat.io/openshift-logging/lokistack-gateway-rhel9@sha256:243d0dd213621bc8c37aaa345c29f633d1440545ef9af431b092f4a9f28e27ed" already present on machine
10m         Normal    Pulled                  pod/loki-gateway-7bfcb9fd97-v9ln5                    Container image "registry.redhat.io/openshift-logging/opa-openshift-rhel9@sha256:b5a936ad84333ffacab0cb970716c759b2a147ea1428ecf06ba8e8096318071c" already present on machine
